系统名称,交换机型号,IP地址,提取时间,是否刷入802.1x,ip route-static
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.108,2025-12-04 17:43:39,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.109,2025-12-04 17:43:39,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-PWR-LI,S5720-28X-PWR-LI,10.3.1.115,2025-12-04 17:44:17,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-28X-PWR-LI,S5720S-28X-PWR-LI,10.3.1.205,2025-12-04 17:50:03,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.136,2025-12-04 17:45:32,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.120,2025-12-04 17:44:27,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.32,2025-12-04 17:37:55,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.31,2025-12-04 17:37:44,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.34,2025-12-04 17:37:58,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.33,2025-12-04 17:37:57,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L48T4X-A,S5735S-L48T4X-A,10.3.1.150,2025-12-04 17:46:31,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.41,2025-12-04 17:38:30,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.39,2025-12-04 17:38:20,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.40,2025-12-04 17:38:22,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.38,2025-12-04 17:38:20,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.37,2025-12-04 17:38:19,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.36,2025-12-04 17:38:07,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
